shop_name,country,length_of_app_use,date,rating,review
LOUD PIZZA RECORDS,United States,About 2 hours using the app,"August 19, 2026",5,"Great customer support! Trying the app for the first time - very easy to install and any questions, customer support is not AI and is a human and actually helps you. Love it so far!"
NETPRO®,United States,About 3 hours using the app,"August 19, 2026",5,Excellent customer support! Easy to use on both front and back ends!
Antique American Indian Art,United States,About 1 month using the app,"August 19, 2026",5,Quick and professional chat service with a human!  I appreciate the help as I am new to the app. I am encouraged.  Thank you! Matt
CAFEC by AWCLUB,United States,16 days using the app,"August 18, 2026",5,
Tracee Matthews llc dba artbytracee,United States,1 day using the app,"August 16, 2026",5,"MACK helped me set up my auction with my online shop today. He provided excellent customer service and was extremely helpful and knowledgeable.   I hope next time I need help, I will be able to call. on him."
Use-Ta!,Australia,2 days using the app,"August 14, 2026",5,So far so good- the support team was super helpful in fixing up some little issues on our first auction.
Gridiron Goods,United States,About 1 hour using the app,"August 12, 2026",5,so helpful
Hespera Jewelry Co.,United States,12 days using the app,"August 12, 2026",5,Very helpful support team!
Collect Northwestern,United States,8 days using the app,"August 12, 2026",5,Excellent customer service! Every time I reach out the team is prompt on responding and quick to resolve my issues.
Lady&Oscar,Italy,About 1 hour using the app,"August 5, 2026",5,"Ottima assistenza, inviato messaggio e risposto in 30 secondi e risolto subito il problema! Grazie"
Brambly Rose,United Kingdom,19 days using the app,"July 26, 2026",5,Very Helpful!
Courtney Denise Lipson,United States,4 days using the app,"July 24, 2026",5,"I am running my first auction and though it's been a little cumbersome to figure out where all the controls are located in the app, I had a couple specific needs to hide bidders' personal info when bidding, gave up and started a chat. Sam helped me immediately and easily fixed my issues. I really appreciate having someone to assist so conveniently."
West Edmonton Coin & Stamp,Canada,6 days using the app,"July 22, 2026",5,I haven't used the app yet but I'm in the process of setting it up. So far it's easy set up with fast and great customer service from Sam! Will update the review after using it for a bit!
US Auction Warehouse,United States,3 months using the app,"July 21, 2026",5,Unexpectedly personalized help from Mack and his team. Great job!
Renewed Market,United States,5 months using the app,"July 16, 2026",5,
Outletspecialist BV,Netherlands,2 months using the app,"July 10, 2026",5,"A very helpful app, useful and practical. 
The customer service is always ready to help out."
Ames Bros,United States,5 months using the app,"July 6, 2026",5,
Avi The Gem Guy,United States,16 days using the app,"June 24, 2026",5,Fixed my issue promptly
Yova,North Macedonia,3 days using the app,"June 23, 2026",5,"I had some issues setting up the application and contacted customer support via the live chat. They responded very quickly and resolved the problem immediately. The support was professional, efficient, and made the whole process smooth and stress-free. Special thanks to Tansy for the excellent assistance!"
J. L. Lawson & Co.,United States,About 6 hours using the app,"June 18, 2026",5,Had some issues with set up but support was on it! Excited about my first auction tomorrow.
SmartaButiken,Sweden,About 1 month using the app,"June 9, 2026",5,Fantastisk support TOPPEN !!!
greenwrld.co,United States,3 months using the app,"May 17, 2026",5,Tansy helped me during a very stressful time when the auction wasn't embedding properly onto my site! She figured everything out and was so helpful. Very good support service.
Art-is-Artis,Latvia,3 days using the app,"May 16, 2026",5,"This is one of the best support experiences which I have had in relation to digital products. All my questions are solved super fast and easy. Also product is amazing, simple to setup and use."
REIQSHOP,United States,About 2 years using the app,"May 11, 2026",5,"Awesome service, helped me real fast with my set up!   Shout out to SAM!"
Hoorayitsefe,Canada,1 day using the app,"May 11, 2026",5,
Reefamorous,Jordan,About 4 hours using the app,"May 10, 2026",5,great app and great support from Sam
Private Jewelers,United States,8 days using the app,"May 8, 2026",5,Sam what quick to help with exactly what I needed. He was detailed and informative and I appreciate the great customer service.
@KevinJohnOKeefe,United States,7 days using the app,"May 4, 2026",5,We are new to auctions and this Auction Today app looked promising. As the reviews stated their team (Sam) got ours up and running with ease. We look forward to continuing through this process and enjoying this addition to our site. Thanks.
The Little Shop of Stitches,United States,About 1 month using the app,"May 1, 2026",5,"I am new to this app, but so far I am loving it!  GREAT customer support, and integrates with my Shopify admin.  I love having a different experience to offer my customers, and still keep them on my own website!"
cakeservice.co,Sweden,About 4 hours using the app,"April 25, 2026",5,Very easy to get going with an intuitive flow and the support is excellent. The personal support is 5/5 ★
"Gold Putz, LLC",United States,3 days using the app,"April 23, 2026",5,the support was amazingly fast and got me up and running very quickly.  Thanks to all the staff who helped me
